word index,english,hiragana,kanji,date_added,rank,sample,is_active,grade,streak,level,total_attempts,total_successes,total_fails,success_ratio,age,reset
628,to bite,さす,刺す,08/03/2021,2,4,1,N2,6,advanced,18.0,12.0,6.0,0.6666666666666666,43,0
629,to touch,さわる,触る,08/03/2021,2,5,1,N4,5,advanced,24.0,13.0,11.0,0.5416666666666666,43,0
630,to be arrested;to be caught,つかまる,捕まる,09/03/2021,3,4,1,N3,6,advanced,33.0,24.0,9.0,0.7272727272727273,42,0
631,to wrap;to cover,つつむ,包む,09/03/2021,3,5,1,N4,6,advanced,17.0,13.0,4.0,0.7647058823529411,42,0
632,to strike;to hit;to punch,なぐる,殴る,13/03/2021,2,5,1,N2,6,advanced,22.0,18.0,4.0,0.8181818181818182,38,0
633,to steal;to rob,ぬすむ,盗む,13/03/2021,3,4,1,N4,5,advanced,27.0,13.0,14.0,0.48148148148148145,38,0
634,to post;to stick,はる,貼る,13/03/2021,3,5,1,N5,5,advanced,17.0,11.0,6.0,0.6470588235294118,38,0
635,to complain,もんくをいう,文句を言う,13/03/2021,1,4,1,NX,6,advanced,19.0,18.0,1.0,0.9473684210526315,38,0
636,each other;one another,おたがい,お互い,15/03/2021,1,5,1,N3,6,advanced,15.0,15.0,0.0,1.0,36,0
637,to step on,ふむ,踏む,15/03/2021,3,4,1,N4,5,advanced,27.0,16.0,11.0,0.5925925925925926,36,0
638,mainly,おもに,主に,16/03/2021,1,5,1,N3,5,advanced,12.0,11.0,1.0,0.9166666666666666,35,0
639,to count,かぞえる,数える,16/03/2021,3,4,1,N3,3,advanced,19.0,13.0,6.0,0.6842105263157895,35,0
640,many times,なんども,何度も,16/03/2021,1,5,1,NX,6,advanced,15.0,14.0,1.0,0.9333333333333333,35,0
641,to be completed,かんせいする,完成する,16/03/2021,2,4,1,N3,4,advanced,17.0,12.0,5.0,0.7058823529411765,35,0
