index_word,streak,date,sample_x,english,hiragana,kanji,date_added,rank,sample_y,is_active
366,9,10/11/2020,1,meaning,いみ,意味,22/07/2020,3,1,0
366,10,11/12/2020,1,meaning,いみ,意味,22/07/2020,3,1,0
375,2,04/08/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,3,06/08/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,4,10/08/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,3,17/08/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,3,21/08/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,2,25/08/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,2,27/08/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,3,29/08/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,4,02/09/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,5,09/09/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,4,23/09/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,5,30/09/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,4,17/10/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,5,24/10/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,6,08/11/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,5,22/11/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,5,06/12/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,5,21/12/2020,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
375,4,02/01/2021,1,grade (on a test),せいせき,成績,25/07/2020,5,1,1
379,4,04/08/2020,1,clothes,ふく,服,25/07/2020,2,1,1
379,4,11/08/2020,1,clothes,ふく,服,25/07/2020,2,1,1
379,5,18/08/2020,1,clothes,ふく,服,25/07/2020,2,1,1
379,5,01/09/2020,1,clothes,ふく,服,25/07/2020,2,1,1
379,4,15/09/2020,1,clothes,ふく,服,25/07/2020,2,1,1
379,5,22/09/2020,1,clothes,ふく,服,25/07/2020,2,1,1
379,4,06/10/2020,1,clothes,ふく,服,25/07/2020,2,1,1
379,3,13/10/2020,1,clothes,ふく,服,25/07/2020,2,1,1
379,4,17/10/2020,1,clothes,ふく,服,25/07/2020,2,1,1
379,5,24/10/2020,1,clothes,ふく,服,25/07/2020,2,1,1
379,6,08/11/2020,1,clothes,ふく,服,25/07/2020,2,1,1
379,7,22/11/2020,1,clothes,ふく,服,25/07/2020,2,1,1
379,7,23/12/2020,1,clothes,ふく,服,25/07/2020,2,1,1
380,4,04/08/2020,1,sweet,あまい,甘い,27/07/2020,1,1,0
380,5,11/08/2020,1,sweet,あまい,甘い,27/07/2020,1,1,0
380,5,25/08/2020,1,sweet,あまい,甘い,27/07/2020,1,1,0
380,6,08/09/2020,1,sweet,あまい,甘い,27/07/2020,1,1,0
380,7,22/09/2020,1,sweet,あまい,甘い,27/07/2020,1,1,0
380,8,23/10/2020,1,sweet,あまい,甘い,27/07/2020,1,1,0
380,9,23/11/2020,1,sweet,あまい,甘い,27/07/2020,1,1,0
380,10,24/12/2020,1,sweet,あまい,甘い,27/07/2020,1,1,0
383,4,04/08/2020,1,there are many…,おおい,多い,27/07/2020,1,1,0
383,5,11/08/2020,1,there are many…,おおい,多い,27/07/2020,1,1,0
383,6,25/08/2020,1,there are many…,おおい,多い,27/07/2020,1,1,0
383,7,08/09/2020,1,there are many…,おおい,多い,27/07/2020,1,1,0
383,8,09/10/2020,1,there are many…,おおい,多い,27/07/2020,1,1,0
383,9,09/11/2020,1,there are many…,おおい,多い,27/07/2020,1,1,0
383,10,10/12/2020,1,there are many…,おおい,多い,27/07/2020,1,1,0
384,3,04/08/2020,1,hurt;painful,いたい,痛い,27/07/2020,3,1,1
384,4,08/08/2020,1,hurt;painful,いたい,痛い,27/07/2020,3,1,1
384,5,15/08/2020,1,hurt;painful,いたい,痛い,27/07/2020,3,1,1
384,6,29/08/2020,1,hurt;painful,いたい,痛い,27/07/2020,3,1,1
384,7,12/09/2020,1,hurt;painful,いたい,痛い,27/07/2020,3,1,1
384,8,13/10/2020,1,hurt;painful,いたい,痛い,27/07/2020,3,1,1
384,9,14/11/2020,1,hurt;painful,いたい,痛い,27/07/2020,3,1,1
384,8,15/12/2020,1,hurt;painful,いたい,痛い,27/07/2020,3,1,1
385,4,04/08/2020,1,snow,ゆき,雪,27/07/2020,1,1,0
385,5,11/08/2020,1,snow,ゆき,雪,27/07/2020,1,1,0
385,6,25/08/2020,1,snow,ゆき,雪,27/07/2020,1,1,0
385,7,09/09/2020,1,snow,ゆき,雪,27/07/2020,1,1,0
385,8,12/10/2020,1,snow,ゆき,雪,27/07/2020,1,1,0
